Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD
"C1"	,"220nF"	,"C0603"	,"49.022mm"	,"13.462mm"	,"49.022mm"	,"13.462mm"	,"49.022mm"	,"12.762mm"	,"T"	,"0"	,"Yes"	,
"C2"	,"18pF"	,"C0603(1)"	,"53.34mm"	,"18.415mm"	,"53.34mm"	,"18.415mm"	,"52.64mm"	,"18.415mm"	,"T"	,"0"	,"Yes"	,
"R1"	,"220"	,"R0603"	,"53.213mm"	,"23.368mm"	,"53.213mm"	,"23.368mm"	,"52.46mm"	,"23.368mm"	,"T"	,"0"	,"Yes"	,
"U2"	,"NT3H1101W0FHKH"	,"XQFN-8_L1.6-W1.6-P0.50-BR"	,"53.213mm"	,"13.462mm"	,"53.213mm"	,"13.462mm"	,"52.563mm"	,"13.962mm"	,"T"	,"0"	,"Yes"	,
"1"	,"ANTENNA_NFC_41X14MM_2UH"	,"25X48MM_NFC_ANTENNA"	,"66.917mm"	,"6.463mm"	,"75.057mm"	,"26.543mm"	,"66.917mm"	,"6.823mm"	,"T"	,"270"	,"No"	,
"LED1"	,"LED-0805_B"	,"LED0805_BLUE"	,"56.388mm"	,"33.147mm"	,"56.388mm"	,"33.147mm"	,"57.438mm"	,"33.147mm"	,"T"	,"180"	,"Yes"	,
